code,region,Description,to_AIS98,from_AIS98   ,FCI
116002.3,head_neck,"Penetrating injury, skull, superficial; <=2cm beneath entrance",116002.3,116002.3,5
116004.5,head_neck,"Penetrating injury, skull, major; >2cm penetration",116004.5,116004.5,2
120099.9,head_neck,"Vascular injury, head, NFS",          ,          ,          
120199.3,head_neck,"Artery injury, head, NFS",121299.3,NONE      ,5
120202.5,head_neck,"Anterior cerebral artery, laceration",120202.5,120202.5,5
120204.3,head_neck,"Anterior cerebral artery, thrombosis; occlusion",120204.3,120204.3,2
120205.4,head_neck,"Anterior cerebral artery, thrombosis; occlusion, bilateral",120204.3,NONE      ,1
120206.3,head_neck,"Anterior cerebral artery, traumatic aneurysm",120206.3,120206.3,2
120299.3,head_neck,Anterior cerebral artery injury NFS,120299.3,120299.3,2
120402.5,head_neck,"Basilar artery, laceration",120402.5,120402.5,5
120404.5,head_neck,"Basilar artery, thrombosis; occlusion",120404.5,120404.5,1
120406.5,head_neck,"Basilar artery, traumatic aneurysm",120406.5,120406.5,1
120499.4,head_neck,Basilar artery injury NFS,120499.5,120499.5,1
120602.4,head_neck,"Sinus, carotid-cavernous fistula",120602.4,120602.4,3
120603.4,head_neck,"Sinus, carotid-cavernous fistula, bilateral",120602.4,NONE      ,2
120802.4,head_neck,"Cavernous sinus, laceration",120802.4,120802.4,3
120804.5,head_neck,"Cavernous sinus, open laceration (bleeding out externally) or segmental loss",120804.5,120804.5,3
120806.3,head_neck,"Cavernous sinus, thrombosis; occlusion",120806.3,120806.3,3
120899.3,head_neck,"Cavernous sinus injury, NFS",120899.3,120899.3,3
121002.5,head_neck,"Internal carotid artery, laceration",121002.5,121002.5,5
121003.6,head_neck,"Internal carotid artery, laceration, bilateral",121002.5,NONE      ,1
121004.4,head_neck,"Internal carotid artery, thrombosis; occlusion",121004.4,121004.4,1
121005.5,head_neck,"Internal carotid artery, thrombosis; occlusion, bilateral",121004.4,NONE      ,1
121006.3,head_neck,"Internal carotid artery, traumatic aneurysm",121006.3,121006.3,5
121099.3,head_neck,Internal carotid artery injury NFS,121099.3,121099.3,1
121402.5,head_neck,"Middle cerebral artery, laceration",121402.5,121402.5,5
121404.4,head_neck,"Middle cerebral artery, thrombosis; occlusion",121404.4,121404.4,1
121405.5,head_neck,"Middle cerebral artery, thrombosis; occlusion, bilateral",121404.4,NONE      ,1
121406.3,head_neck,"Middle cerebral artery, traumatic aneurysm",121406.3,121406.3,5
121499.3,head_neck,Middle cerebral artery injury NFS,121499.3,121499.3,1
121602.4,head_neck,"Other artery, head, [branch of anterior, posterior or middle cerebral artery or branch of basilar or vertebral artery], laceration",121602.4,121602.4,          
121604.3,head_neck,"Other artery, head, [branch of anterior, posterior or middle cerebral artery or branch of basilar or vertebral artery], thrombosis; occlusion",121604.3,121604.3,          
121606.3,head_neck,"Other artery, head, [branch of anterior, posterior or middle cerebral artery or branch of basilar or vertebral artery], traumatic aneurysm",121606.3,121606.3,          
121699.3,head_neck,"Other artery, head, injury NFS [branch of anterior, posterior or middle cerebral artery or branch of basilar or vertebral artery]",121699.3,121699.3,          
121802.5,head_neck,"Posterior cerebral artery, laceration",121802.5,121802.5,3
121804.3,head_neck,"Posterior cerebral artery, thrombosis; occlusion",121804.3,121804.3,2
121805.4,head_neck,"Posterior cerebral artery, thrombosis; occlusion, bilateral",121804.3,NONE      ,1
121806.3,head_neck,"Posterior cerebral artery, traumatic aneurysm",121806.3,121806.3,5
121899.3,head_neck,Posterior cerebral artery injury NFS,121899.3,121899.3,2
122002.4,head_neck,"Sigmoid sinus, laceration",122002.4,122002.4,1
122003.5,head_neck,"Sigmoid sinus, laceration, bilateral",122002.4,NONE      ,1
122004.5,head_neck,"Sigmoid sinus, open laceration (bleeding out externally) or segmental loss",122004.5,122004.5,2
122005.6,head_neck,"Sigmoid sinus, laceration, open laceration (bleeding out externally) or segmental loss, bilateral",122004.5,NONE      ,2
122006.4,head_neck,"Sigmoid sinus, thrombosis; occlusion",122006.4,122006.4,2
122007.5,head_neck,"Sigmoid sinus, thrombosis; occlusion, bilateral",122006.4,NONE      ,1
122099.4,head_neck,"Sigmoid sinus injury, NFS",122099.4,122099.4,1
122202.4,head_neck,"Sinus, laceration",122202.4,122202.4,5
122204.3,head_neck,"Sinus, thrombosis; occlusion",122204.3,122204.3,5
122299.3,head_neck,Sinus injury NFS,122299.3,122299.3,5
122399.3,head_neck,"Vein injury, head, NFS",121299.3,NONE      ,5
122402.4,head_neck,"Superior longitudinal (saggital) sinus, laceration",122402.4,122402.4,5
122404.5,head_neck,"Superior longitudinal (saggital) sinus, open laceration (bleeding out externally) or segmental loss",122404.5,122404.5,5
122406.4,head_neck,"Superior longitudinal (saggital) sinus, thrombosis; occlusion",122406.4,122406.4,2
122407.4,head_neck,"Superior longitudinal (saggital) sinus, thrombosis; occlusion, anterior half of sinus",122406.4,NONE      ,2
122408.5,head_neck,"Superior longitudinal (saggital) sinus, thrombosis; occlusion, posterior half of sinus",122406.4,NONE      ,1
122499.3,head_neck,"Superior longitudinal (saggital) sinus injury, NFS",122499.4,122499.4,5
122502.4,head_neck,"Vein, major, head, [includes Galen, Labbe, Trolard, Rosenthal or internal cerebral], laceration",122202.4,122202.4,5
122504.3,head_neck,"Vein, major, head, [includes Galen, Labbe, Trolard, Rosenthal or internal cerebral], thrombosis; occlusion",122204.3,122204.3,2
122599.3,head_neck,"Vein, major, head, injury NFS [includes Galen, Labbe, Trolard, Rosenthal or internal cerebral]",122299.3,122299.3,5
122602.4,head_neck,"Transverse sinus, laceration",122602.4,122602.4,5
122603.5,head_neck,"Transverse sinus, laceration, bilateral",122602.4,NONE      ,5
122604.5,head_neck,"Transverse sinus, open laceration (bleeding out externally) or segmental loss",122604.5,122604.5,5
122605.6,head_neck,"Transverse sinus, laceration, open laceration (bleeding out externally) or segmental loss, bilateral",122604.5,NONE      ,1
122606.4,head_neck,"Transverse sinus, thrombosis; occlusion",122606.4,122606.4,2
122607.6,head_neck,"Transverse sinus, laceration, open laceration (bleeding out externally) or segmental loss, torcular",122604.5,NONE      ,1
122608.5,head_neck,"Transverse sinus, thrombosis; occlusion, bilateral",122606.4,NONE      ,1
122699.3,head_neck,Transverse sinus injury NFS,122699.4,122699.4,2
122702.4,head_neck,"Head, vein, non-major [any named vein that is not major], laceration",121202.4,NONE      ,          
122704.3,head_neck,"Head, vein, non-major [any named vein that is not major], thrombosis; occlusion",121204.3,NONE      ,          
122799.3,head_neck,"Head, vein, non-major, injury NFS [any named vein that is not major]",121299.3,NONE      ,          
122802.5,head_neck,"Vertebral artery, head, laceration",122802.5,122802.5,5
122803.6,head_neck,"Vertebral artery, head, laceration, bilateral",122802.5,NONE      ,1
122804.3,head_neck,"Vertebral artery, head, thrombosis; occlusion",122804.3,122804.3,5
122805.4,head_neck,"Vertebral artery, head, thrombosis; occlusion, bilateral",122804.3,NONE      ,1
122806.3,head_neck,"Vertebral artery, head, traumatic aneurysm",122806.3,122806.3,5
122899.3,head_neck,"Vertebral artery, head, injury NFS",122899.3,122899.3,5
123002.4,head_neck,"Straight sinus, laceration",122202.4,NONE      ,          
123003.5,head_neck,"Straight sinus, open laceration (bleeding out externally) or segmental loss",122202.4,NONE      ,          
123004.5,head_neck,"Straight sinus, thrombosis; occlusion",122204.3,NONE      ,          
123099.4,head_neck,"Straight sinus injury, NFS",122299.3,NONE      ,          
130202.2,head_neck,"Cranial nerve, contusion",130202.2,130202.2,5
130204.2,head_neck,"Cranial nerve, laceration",130204.2,130204.2,5
130299.2,head_neck,Cranial nerve injury NFS,130299.2,130299.2,5
130402.2,head_neck,"I (Olfactory nerve, tract), contusion",130402.2,130402.2,5
130404.2,head_neck,"I (Olfactory nerve, tract), laceration",130404.2,130404.2,5
130499.2,head_neck,"I (Olfactory nerve, tract) injury NFS",130499.2,130499.2,5
130602.2,head_neck,"II (Optic nerve, intracranial and intracanalicular segments) [includes chiasm and tracts], contusion",130602.2,130602.2,3
130604.2,head_neck,"II (Optic nerve, intracranial and intracanalicular segments) [includes chiasm and tracts], contusion, bilateral",130604.2,130604.2,3
130606.2,head_neck,"II (Optic nerve, intracranial and intracanalicular segments) [includes chiasm and tracts], laceration",130606.2,130606.2,3
130608.2,head_neck,"II (Optic nerve, intracranial and intracanalicular segments) [includes chiasm and tracts], laceration, bilateral",130608.2,130608.2,2
130699.2,head_neck,"II (Optic nerve, intracranial and intracanalicular segments) [includes chiasm and tracts] injury NFS",130699.2,130699.2,3
130802.2,head_neck,"III (Oculomotor nerve), contusion or compression [includes injury due to transtentorial herniation]",130802.2,130802.2,5
130804.2,head_neck,"III (Oculomotor nerve), laceration",130804.2,130804.2,3
130899.2,head_neck,III (Oculomotor nerve) injury NFS,130899.2,130899.2,3
131002.2,head_neck,"IV (Trochlear nerve), contusion",131002.2,131002.2,5
131004.2,head_neck,"IV (Trochlear nerve), laceration",131004.2,131004.2,3
131099.2,head_neck,IV (Trochlear nerve) injury NFS,131099.2,131099.2,3
131202.2,head_neck,"V (Trigeminal nerve), contusion",131202.2,131202.2,5
131204.2,head_neck,"V (Trigeminal nerve), laceration",131204.2,131204.2,3
131299.2,head_neck,V (Trigeminal nerve) injury NFS,131299.2,131299.2,3
131402.2,head_neck,"VI (Abducens nerve), contusion",131402.2,131402.2,5
131404.2,head_neck,"VI (Abducens nerve), laceration",131404.2,131404.2,3
131499.2,head_neck,VI (Abducens nerve) injury NFS,131499.2,131499.2,3
131602.2,head_neck,"VII (Facial nerve), contusion",131602.2,131602.2,5
131604.2,head_neck,"VII (Facial nerve), laceration",131604.2,131604.2,3
131605.3,head_neck,"VII (Facial nerve), laceration, bilateral",131604.2,NONE      ,2
131699.2,head_neck,VII (Facial nerve) injury NFS,131699.2,131699.2,3
131802.2,head_neck,"VIII (Vestibulocochlear nerve) [includes auditory, acoustic and vestibular nerves], contusion",131802.2,131802.2,5
131804.2,head_neck,"VIII (Vestibulocochlear nerve) [includes auditory, acoustic and vestibular nerves], laceration",131804.2,131804.2,4
131806.3,head_neck,"VIII (Vestibulocochlear nerve) [includes auditory, acoustic and vestibular nerves], laceration, bilateral",131806.2,131806.2,2
131899.2,head_neck,"VIII (Vestibulocochlear nerve) [includes auditory, acoustic and vestibular nerves] injury NFS",131899.2,131899.2,4
132002.2,head_neck,"IX (Glossopharyngeal nerve), contusion",132002.2,132002.2,5
132004.2,head_neck,"IX (Glossopharyngeal nerve), laceration",132004.2,132004.2,2
132099.2,head_neck,IX (Glossopharyngeal nerve) injury NFS,132099.2,132099.2,2
132202.2,head_neck,"X (Vagus nerve) [excludes injury in neck, thorax or abdomen], contusion",132202.2,132202.2,5
132204.2,head_neck,"X (Vagus nerve) [excludes injury in neck, thorax or abdomen], laceration",132204.2,132204.2,3
132299.2,head_neck,"X (Vagus nerve) [excludes injury in neck, thorax or abdomen] injury NFS",132299.2,132299.2,3
132402.2,head_neck,"XI (Spinal accessory nerve), contusion",132402.2,132402.2,5
132404.2,head_neck,"XI (Spinal accessory nerve), laceration",132404.2,132404.2,5
132499.2,head_neck,XI (Spinal accessory nerve) injury NFS,132499.2,132499.2,5
132602.2,head_neck,"XII (Hypoglossal nerve), contusion",132602.2,132602.2,5
132604.2,head_neck,"XII (Hypoglossal nerve), laceration",132604.2,132604.2,2
132699.2,head_neck,XII (Hypoglossal nerve) injury NFS,132699.2,132699.2,2
140202.5,head_neck,"Brain stem [hypothalamus, medulla, midbrain, pons], compression [includes transtentorial (uncal) or cerebellar tonsillar herniation]",140202.5,140202.5,1
140204.5,head_neck,"Brain stem [hypothalamus, medulla, midbrain, pons], contusion",140204.5,140204.5,1
140208.5,head_neck,"Brain stem [hypothalamus, medulla, midbrain, pons], infarction",140208.5,140208.5,1
140210.5,head_neck,"Brain stem [hypothalamus, medulla, midbrain, pons], injury involving hemorrhage",140210.5,140210.5,1
140212.6,head_neck,"Brain stem [hypothalamus, medulla, midbrain, pons], laceration",140212.6,140212.6,1
140214.6,head_neck,"Brain stem [hypothalamus, medulla, midbrain, pons], massive destruction (crush-type injury)",140214.6,140214.6,1
140216.6,head_neck,"Brain stem [hypothalamus, medulla, midbrain, pons], penetrating injury",140216.6,140216.6,1
140218.6,head_neck,"Brain stem [hypothalamus, medulla, midbrain, pons], transection",140218.6,140218.6,1
140299.5,head_neck,"Brain stem [hypothalamus, medulla, midbrain, pons] injury NFS",140299.5,140299.5,1
140402.3,head_neck,"Cerebellum, contusion, single or multiple, NFS [include perilesional edema for size]",140402.3,140402.3,5
140403.3,head_neck,"Cerebellum, contusion, single or multiple, [include perilesional edema for size], small; superficial; <=15cc; 1-3cm diameter",140403.3,140403.3,5
140404.4,head_neck,"Cerebellum, contusion, single or multiple, [include perilesional edema for size], large; 15-30cc; >3cm diameter",140404.4,140404.4,3
140405.5,head_neck,"Cerebellum, contusion, single or multiple, [include perilesional edema for size], extensive; massive; total volume >30cc",140405.5,140405.5,2
140407.2,head_neck,"Cerebellum, contusion, single or multiple, [include perilesional edema for size], tiny; <1cm diameter",140403.3,NONE      ,5
140410.3,head_neck,"Cerebellum, hematoma (hemorrhage) NFS",140410.4,140410.4,5
140414.3,head_neck,"Cerebellum, hematoma (hemorrhage), epidural or extradural NFS [include perilesional edema for size]",140414.4,140414.4,5
140416.2,head_neck,"Cerebellum, hematoma (hemorrhage), epidural or extradural [include perilesional edema for size], tiny; <0.6cm thick",140418.4,NONE      ,5
140418.4,head_neck,"Cerebellum, hematoma (hemorrhage), epidural or extradural [include perilesional edema for size], small; moderate; <=30cc or <=15cc if <=10yo; 0.6-1cm thick",140418.4,140418.4,5
140422.5,head_neck,"Cerebellum, hematoma (hemorrhage), epidural or extradural [include perilesional edema for size], large; massive; extensive; >30cc or >15cc if <=10yo; >1cm thick",140422.5,140422.5,1
140426.3,head_neck,"Cerebellum, hematoma (hemorrhage), intracerebellar including petechial and subcortical [include perilesional edema for size] NFS",140426.4,140426.4,5
140428.2,head_neck,"Cerebellum, hematoma (hemorrhage), intracerebellar including petechial and subcortical [include perilesional edema for size], tiny; <0.6cm diameter [includes radiographic ""shearing"" lesions]",140430.4,NONE      ,5
140430.4,head_neck,"Cerebellum, hematoma (hemorrhage), intracerebellar including petechial and subcortical [include perilesional edema for size], small; <=15cc; 0.6-3cm diameter",140430.4,140430.4,5
140434.5,head_neck,"Cerebellum, hematoma (hemorrhage), intracerebellar including petechial and subcortical [include perilesional edema for size], large; >15cc; >3cm diameter",140434.5,140434.5,2
140438.3,head_neck,"Cerebellum, hematoma (hemorrhage), subdural NFS",140438.4,140438.4,5
140440.2,head_neck,"Cerebellum, hematoma (hemorrhage), subdural, tiny; <0.6cm thick",140442.4,NONE      ,5
140442.4,head_neck,"Cerebellum, hematoma (hemorrhage), subdural, small; moderate; <=30cc or <=15cc if <=10yo; 0.6-1cm thick",140442.4,140442.4,5
140446.5,head_neck,"Cerebellum, hematoma (hemorrhage), subdural, large; massive; extensive; >30cc or >15cc if <=10yo; >1cm thick",140446.5,140446.5,2
140450.3,head_neck,"Cerebellum, brain swelling/edema NFS",140450.3,140450.3,5
140458.3,head_neck,"Cerebellum, infarction (acute due to traumatic vascular occlusion)",140458.3,140458.3,2
140462.3,head_neck,"Cerebellum injury, ischemic brain damage directly related to head trauma",140462.3,140462.3,5
140466.2,head_neck,"Cerebellum, subarachnoid hemorrhage",140466.3,140466.3,5
140470.2,head_neck,"Cerebellum, subpial hemorrhage",140470.3,140470.3,5
140472.4,head_neck,"Cerebellum, laceration [not from penetrating injury], >2cm length or depth",140474.4,NONE      ,3
140473.3,head_neck,"Cerebellum, laceration [not from penetrating injury], <=2cm length or depth",140474.4,NONE      ,5
140474.3,head_neck,"Cerebellum, laceration [not from penetrating injury] NFS",140474.4,140474.4,5
140476.5,head_neck,"Cerebellum, penetrating injury, >2cm deep",140478.5,NONE      ,2
140477.3,head_neck,"Cerebellum, penetrating injury, <=2cm deep",140478.5,NONE      ,5
140478.3,head_neck,"Cerebellum, penetrating injury NFS",140478.5,140478.5,5
140489.9,head_neck,"Cerebellum, trauma-associated findings not related either to intervention or to anatomically-described head injury NFS",NONE      ,NONE      ,          
140499.3,head_neck,Cerebellum injury NFS,140499.3,140499.3,5
140602.3,head_neck,"Cerebrum [includes basal ganglia, thalamus, putamen, globus pallidus], contusion NFS [include perilesional edema for size]",140602.3,140602.3,5
140604.3,head_neck,"Cerebrum [includes basal ganglia, thalamus, putamen, globus pallidus], contusion [include perilesional edema for size], single NFS",140604.3,140604.3,5
140605.2,head_neck,"Cerebrum [includes basal ganglia, thalamus, putamen, globus pallidus], contusion [include perilesional edema for size], single, tiny; <1cm diameter",140604.3,NONE      ,5
140606.3,head_neck,"Cerebrum [includes basal ganglia, thalamus, putamen, globus pallidus], contusion [include perilesional edema for size], single, small; superficial; <=30cc or <=15cc if <=10yo; 1-4cm diameter or 1-2cm diameter if <=10yo; midline shift <=5mm",140606.3,140606.3,5
140608.4,head_neck,"Cerebrum [includes basal ganglia, thalamus, putamen, globus pallidus], contusion [include perilesional edema for size], single, large; deep; 30-50cc or 15-30cc if <=10yo; >4cm diameter or 2-4cm diameter if <=10yo; midline shift >5mm",140608.4,140608.4,2
140610.5,head_neck,"Cerebrum [includes basal ganglia, thalamus, putamen, globus pallidus], contusion [include perilesional edema for size], single, extensive; massive; total volume >50cc or >30cc if <=10yo",140610.5,140610.5,1
140611.3,head_neck,"Cerebrum [includes basal ganglia, thalamus, putamen, globus pallidus], contusion [include perilesional edema for size], multiple NFS",140611.3,140611.3,3
140612.3,head_neck,"Cerebrum [includes basal ganglia, thalamus, putamen, globus pallidus], contusion [include perilesional edema for size], multiple, on same side but NFS",140612.3,140612.3,5
140613.2,head_neck,"Cerebrum [includes basal ganglia, thalamus, putamen, globus pallidus], contusion [include perilesional edema for size], multiple, on same side but, tiny; each <1cm diameter",140612.3,NONE      ,5
140614.3,head_neck,"Cerebrum [includes basal ganglia, thalamus, putamen, globus pallidus], contusion [include perilesional edema for size], multiple, on same side but, small; superficial; total volume <=30cc or <=15cc if <=10yo; midline shift <=5mm",140614.3,140614.3,5
140616.4,head_neck,"Cerebrum [includes basal ganglia, thalamus, putamen, globus pallidus], contusion [include perilesional edema for size], multiple, on same side but, large; total volume 30-50cc or 15-30cc if <=10yo; midline shift >5mm",140616.4,140616.4,1
140618.5,head_neck,"Cerebrum [includes basal ganglia, thalamus, putamen, globus pallidus], contusion [include perilesional edema for size], multiple, on same side but, extensive; massive; total volume >50cc or >30cc if <=10yo",140618.5,140618.5,1
140620.3,head_neck,"Cerebrum [includes basal ganglia, thalamus, putamen, globus pallidus], contusion [include perilesional edema for size], multiple, at least one on each side but NFS",140620.3,140620.3,3
140621.2,head_neck,"Cerebrum [includes basal ganglia, thalamus, putamen, globus pallidus], contusion [include perilesional edema for size], multiple, at least one on each side but, tiny; each <1cm diameter",140622.3,NONE      ,5
140622.3,head_neck,"Cerebrum [includes basal ganglia, thalamus, putamen, globus pallidus], contusion [include perilesional edema for size], multiple, at least one on each side but, small; superficial; total volume <=30cc or <=15cc if <=10yo",140622.3,140622.3,3
140624.4,head_neck,"Cerebrum [includes basal ganglia, thalamus, putamen, globus pallidus], contusion [include perilesional edema for size], multiple, at least one on each side but, large; total volume 30-50cc or 15-30cc if <=10yo",140624.4,140624.4,1
140625.4,head_neck,"Cerebrum [includes basal ganglia, thalamus, putamen, globus pallidus], diffuse axonal injury (DAI) [requires coma >6 hours or, if fatal within 6 hours, diagnosis is made by pathological examination], DAI confined to white matter or basal ganglia",140628.5,NONE      ,1
140626.5,head_neck,"Cerebrum [includes basal ganglia, thalamus, putamen, globus pallidus], contusion [include perilesional edema for size], multiple, at least one on each side but, extensive; massive; total volume >50cc or >30cc if <=10yo",140626.5,140626.5,1
140627.5,head_neck,"Cerebrum [includes basal ganglia, thalamus, putamen, globus pallidus], diffuse axonal injury (DAI) [requires coma >6 hours or, if fatal within 6 hours, diagnosis is made by pathological examination], DAI involving corpus callosum",140628.5,NONE      ,1
140628.4,head_neck,"Cerebrum [includes basal ganglia, thalamus, putamen, globus pallidus], diffuse axonal injury (DAI) NFS [requires coma >6 hours or, if fatal within 6 hours, diagnosis is made by pathological examination]",140628.5,140628.5,1
140629.3,head_neck,"Cerebrum [includes basal ganglia, thalamus, putamen, globus pallidus], hematoma (hemorrhage) NFS",140629.4,140629.4,5
140630.3,head_neck,"Cerebrum [includes basal ganglia, thalamus, putamen, globus pallidus], hematoma (hemorrhage), epidural or extradural NFS [include perilesional edema for size]",140630.4,140630.4,5
140631.2,head_neck,"Cerebrum [includes basal ganglia, thalamus, putamen, globus pallidus], hematoma (hemorrhage), epidural or extradural [include perilesional edema for size], tiny; <0.6cm thick",140632.4,NONE      ,5
140632.4,head_neck,"Cerebrum [includes basal ganglia, thalamus, putamen, globus pallidus], hematoma (hemorrhage), epidural or extradural [include perilesional edema for size], small; moderate; <=50cc or <=25cc if <=10yo; 0.6-1cm thick",140632.4,140632.4,5
140634.5,head_neck,"Cerebrum [includes basal ganglia, thalamus, putamen, globus pallidus], hematoma (hemorrhage), epidural or extradural [include perilesional edema for size], small; moderate; <=50cc or <=25cc if <=10yo; 0.6-1cm thick, bilateral",140634.5,140634.5,5
140636.5,head_neck,"Cerebrum [includes basal ganglia, thalamus, putamen, globus pallidus], hematoma (hemorrhage), epidural or extradural [include perilesional edema for size], large; massive; extensive; >50cc or >25cc if <=10yo; >1cm thick hematoma",140636.5,140636.5,1
140638.3,head_neck,"Cerebrum [includes basal ganglia, thalamus, putamen, globus pallidus], hematoma (hemorrhage), intracerebral NFS [include perilesional edema for size]",140638.4,140638.4,5
140639.2,head_neck,"Cerebrum [includes basal ganglia, thalamus, putamen, globus pallidus], hematoma (hemorrhage), intracerebral [include perilesional edema for size], tiny; single or multiple <1cm diameter",140640.4,NONE      ,5
140640.4,head_neck,"Cerebrum [includes basal ganglia, thalamus, putamen, globus pallidus], hematoma (hemorrhage), intracerebral [include perilesional edema for size], small; <=30cc or <=15cc if <=10yo; 1-4cm diameter or <=1cm if <=10yo; subcortical hemorrhage",140640.4,140640.4,5
140641.5,head_neck,"Cerebrum [includes basal ganglia, thalamus, putamen, globus pallidus], hematoma (hemorrhage), intracerebral [include perilesional edema for size], large; >30cc or >15cc if <=10yo; >4cm or >1cm diameter if <=10yo, bilateral [each >4cm]",140648.5,NONE      ,1
140642.2,head_neck,"Cerebrum [includes basal ganglia, thalamus, putamen, globus pallidus], hematoma (hemorrhage), intracerebral [include perilesional edema for size], tiny; single or multiple <1cm diameter, petechial hemorrhage or hemorrhages [includes radiographic ""shearing"" lesions]",140642.4,140642.4,5
140643.2,head_neck,"Cerebrum [includes basal ganglia, thalamus, putamen, globus pallidus], hematoma (hemorrhage), intracerebral [include perilesional edema for size], tiny; single or multiple <1cm diameter, petechial hemorrhage or hemorrhages [includes radiographic ""shearing"" lesions], not associated with coma >6 hours",140642.4,NONE      ,5
140645.4,head_neck,"Cerebrum [includes basal ganglia, thalamus, putamen, globus pallidus], hematoma (hemorrhage), intracerebral [include perilesional edema for size], tiny; single or multiple <1cm diameter, petechial hemorrhage or hemorrhages [includes radiographic ""shearing"" lesions], associated with coma >6 hours",140642.4,NONE      ,1
140646.5,head_neck,"Cerebrum [includes basal ganglia, thalamus, putamen, globus pallidus], hematoma (hemorrhage), intracerebral [include perilesional edema for size], small; <=30cc or <=15cc if <=10yo; 1-4cm diameter or <=1cm if <=10yo; subcortical hemorrhage, bilateral",140646.5,140646.5,1
140647.3,head_neck,"Cerebrum [includes basal ganglia, thalamus, putamen, globus pallidus], hematoma (hemorrhage), intracerebral [include perilesional edema for size], small; <=30cc or <=15cc if <=10yo; 1-4cm diameter or <=1cm if <=10yo; subcortical hemorrhage, not associated with coma >6 hours",140640.4,NONE      ,5
140648.5,head_neck,"Cerebrum [includes basal ganglia, thalamus, putamen, globus pallidus], hematoma (hemorrhage), intracerebral [include perilesional edema for size], large; >30cc or >15cc if <=10yo; >4cm or >1cm diameter if <=10yo",140648.5,140648.5,1
